taxid,rel_abundance
,0.029301072212304855
Acetobacteraceae,0.008072860407736302
Alcaligenaceae,0.009596470681872448
Anaerolineaceae,0.003956838622383427
Archangiaceae,0.002592411511216728
Azonexaceae,0.004820975792789003
Blastocatellaceae,0.013121240719053087
Brucellaceae,0.007902307018840465
Bryobacteraceae,0.01903375820077545
Burkholderiaceae,0.002603781737143117
Caldilineaceae,0.01903375820077545
Candidatus Competibacteraceae,0.002478709251952836
Chitinophagaceae,0.09150757825557994
Comamonadaceae,0.022672230497219982
Cryomorphaceae,0.004809605566862614
Cytophagaceae,0.0043434263038806585
Desulfobacteraceae,0.008163822215147415
Desulfonatronaceae,0.017919476059989312
Desulfuromonadaceae,0.004138762237205653
Ectothiorhodospiraceae,0.003934098170530648
Fimbriimonadaceae,0.0023650069926889447
Geminicoccaceae,0.014997327996907298
Gemmataceae,0.013632900885740599
Geobacteraceae,0.03293954450874939
Haliscomenobacteraceae,0.20130985002672003
Helicobacteraceae,0.006299105163219593
Hyphomicrobiaceae,0.022092348974974134
Isosphaeraceae,0.0034110677779167473
Kofleriaceae,0.008288894700337696
Lacipirellulaceae,0.003922727944604259
Methylococcaceae,0.020875734800850494
Methylocystaceae,0.0025696710593639495
Nitrosomonadaceae,0.01391715653390033
Phycisphaeraceae,0.00701542939658211
Phyllobacteriaceae,0.009391806615197444
Planctomycetaceae,0.005037010085390397
Polyangiaceae,0.002956258740861181
Pyrinomonadaceae,0.004206983592763988
Rhizobiaceae,0.009755653844841897
Rhodanobacteraceae,0.005503189348372352
Rhodobacteraceae,0.03263254840873688
Rhodospirillaceae,0.06535605862488487
Sedimentisphaeraceae,0.0028425564815972894
Sphingomonadaceae,0.002819816029744511
Steroidobacteraceae,0.04560597619074692
Sterolibacteriaceae,0.11574889993064162
Thermoanaerobaculaceae,0.0022854154112042207
Thermoguttaceae,0.004968788729832062
Thiobacillaceae,0.006549250133600155
Vicinamibacteraceae,0.009369066163344666
Yersiniaceae,0.0030699610001250727
Zoogloeaceae,0.03826081024229951
