taxid,rel_abundance
,0.015213362289508692
Anaerolineales,0.003956838622383427
Blastocatellales,0.017328224311817075
Bryobacterales,0.01903375820077545
Burkholderiales,0.05771526680235137
Caldilineales,0.01903375820077545
Campylobacterales,0.006299105163219593
Chitinophagales,0.09150757825557994
Chromatiales,0.003934098170530648
Cytophagales,0.007436127755858509
Desulfobacterales,0.008163822215147415
Desulfovibrionales,0.017919476059989312
Desulfuromonadales,0.037078306745955046
Enterobacterales,0.0030699610001250727
Fimbriimonadales,0.0023650069926889447
Flavobacteriales,0.004809605566862614
Gemmatales,0.013632900885740599
Isosphaerales,0.0034110677779167473
Methylococcales,0.020875734800850494
Myxococcales,0.013837564952415605
Nevskiales,0.04560597619074692
Nitrosomonadales,0.1362153065981421
Phycisphaerales,0.00701542939658211
Pirellulales,0.008891516674436321
Planctomycetales,0.005037010085390397
Rhizobiales,0.05171178751321789
Rhodobacterales,0.03263254840873688
Rhodocyclales,0.04308178603508851
Rhodospirillales,0.08842624702952848
Saprospirales,0.20130985002672003
Sedimentisphaerales,0.0028425564815972894
Sphingomonadales,0.002819816029744511
Thermoanaerobaculales,0.0022854154112042207
Xanthomonadales,0.005503189348372352
