taxid,rel_abundance
,0.0035020295853278607
Acidimangrovimonas,0.003615731844591752
Amaricoccus,0.00620814335580848
Anaerolinea,0.003956838622383427
Aquabacterium,0.005639632059489022
Arboricoccus,0.014997327996907298
Arenimicrobium,0.004206983592763988
Aridibacter,0.010324165141161355
Bryobacter,0.00837985650774881
Bythopirellula,0.003922727944604259
Caldilinea,0.01903375820077545
Calorithrix,0.0033655868742111907
Chelativorans,0.0033314761964320233
Chryseolinea,0.0030927014519778508
Dechloromonas,0.004820975792789003
Defluviicoccus,0.04562871664259969
Defluviimonas,0.010631161241173862
Denitratisoma,0.0760213305438379
Derxia,0.009596470681872448
Desulfonatronobacter,0.008163822215147415
Desulfonatronum,0.017919476059989312
Fimbriiglobus,0.0025469306075111713
Fimbriimonas,0.0023650069926889447
Geobacter,0.0244346155158103
Geopsychrobacter,0.00850492899293909
Georgfuchsia,0.002319526088983388
Haliangium,0.008288894700337696
Haliscomenobacter,0.07793152849947128
Helicobacter,0.006299105163219593
Hydrogenophaga,0.005764704544679302
Hyphomicrobium,0.01934075430078796
Ideonella,0.007754494081797405
Kaistia,0.009755653844841897
Lacihabitans,0.0043434263038806585
Mesorhizobium,0.006060330418765421
Methylocaldum,0.020875734800850494
Methyloversatilis,0.037408043297820326
Nitrosospira,0.01391715653390033
Novosphingobium,0.002819816029744511
Oceanibaculum,0.01972734198228519
Ochrobactrum,0.007902307018840465
Owenweeksia,0.004809605566862614
Paludibaculum,0.01065390169302664
Paludisphaera,0.0034110677779167473
Pelobacter,0.004138762237205653
Phaeodactylibacter,0.006264994485440426
Phycisphaera,0.00701542939658211
Piscinibacter,0.009448657744829388
Plasticicumulans,0.002478709251952836
Pleomorphomonas,0.0025696710593639495
Portibacter,0.11711332704180832
Povalibacter,0.04560597619074692
Quisquiliibacterium,0.002603781737143117
Ramlibacter,0.016907525952540678
Rhodobacter,0.006003479289133475
Rhodoplanes,0.002751594674186176
Rhodovulum,0.006174032678029313
Roseomonas,0.008072860407736302
Rubinisphaera,0.005037010085390397
Sedimentisphaera,0.0028425564815972894
Serratia,0.0030699610001250727
Sorangium,0.002956258740861181
Stenotrophobacter,0.0027970755778917327
Stigmatella,0.002592411511216728
Sulfuritortus,0.006549250133600155
Tahibacter,0.005503189348372352
Telmatocola,0.007583940692901568
Terrimonas,0.09150757825557994
Thermoanaerobaculum,0.0022854154112042207
Thermogutta,0.004968788729832062
Thioalkalivibrio,0.003934098170530648
Vicinamibacter,0.009369066163344666
Zoogloea,0.03826081024229951
